Date,Cons,Irradiacao,PV_Out,Surplus
2018-01-11 08:00:00,150.0,0.335,206.08278750000002,56.08278750000002
2018-01-11 09:00:00,185.75,0.409,251.6055525,65.85555249999999
2018-01-11 10:00:00,218.0,0.442,271.906245,53.90624500000001
2018-01-11 11:00:00,237.0,0.449,276.2124524999999,39.21245249999993
2018-01-11 12:00:00,238.25,0.429,263.90900249999993,25.65900249999993
2018-01-11 13:00:00,223.75,0.407,250.37520749999996,26.62520749999996
2018-01-11 14:00:00,223.5,0.373,229.4593425,5.959342499999991
2018-01-11 15:00:00,224.75,0.242,148.87174499999998,-75.87825500000002
2018-01-11 16:00:00,221.25,0.007,4.306207499999999,-216.9437925
2018-01-11 17:00:00,204.0,0.0,0.0,-204.0
2018-01-11 18:00:00,180.25,0.0,0.0,-180.25
2018-01-11 19:00:00,148.75,0.0,0.0,-148.75
2018-01-11 20:00:00,123.0,0.0,0.0,-123.0
2018-01-11 21:00:00,108.0,0.0,0.0,-108.0
2018-01-11 22:00:00,95.75,0.0,0.0,-95.75
2018-01-11 23:00:00,92.5,0.0,0.0,-92.5
2018-01-12 00:00:00,88.0,0.0,0.0,-88.0
2018-01-12 01:00:00,85.0,0.0,0.0,-85.0
2018-01-12 02:00:00,83.5,0.0,0.0,-83.5
2018-01-12 03:00:00,82.0,0.0,0.0,-82.0
2018-01-12 04:00:00,81.0,0.0,0.0,-81.0
2018-01-12 05:00:00,81.75,0.0,0.0,-81.75
2018-01-12 06:00:00,86.25,0.0,0.0,-86.25
2018-01-12 07:00:00,102.5,0.125,76.89656249999999,-25.603437500000013
2018-01-12 08:00:00,153.0,0.335,206.08278750000002,53.08278750000002
2018-01-12 09:00:00,194.0,0.409,251.6055525,57.60555249999999
2018-01-12 10:00:00,221.5,0.442,271.906245,50.40624500000001
2018-01-12 11:00:00,242.25,0.449,276.2124524999999,33.96245249999993
2018-01-12 12:00:00,238.25,0.429,263.90900249999993,25.65900249999993
2018-01-12 13:00:00,232.0,0.407,250.37520749999996,18.37520749999996
2018-01-12 14:00:00,234.75,0.373,229.4593425,-5.290657500000009
2018-01-12 15:00:00,233.25,0.242,148.87174499999998,-84.37825500000002
2018-01-12 16:00:00,229.25,0.007,4.306207499999999,-224.9437925
2018-01-12 17:00:00,211.25,0.0,0.0,-211.25
2018-01-12 18:00:00,180.5,0.0,0.0,-180.5
2018-01-12 19:00:00,144.5,0.0,0.0,-144.5
2018-01-12 20:00:00,118.75,0.0,0.0,-118.75
2018-01-12 21:00:00,102.0,0.0,0.0,-102.0
2018-01-12 22:00:00,91.0,0.0,0.0,-91.0
2018-01-12 23:00:00,86.5,0.0,0.0,-86.5
2018-01-13 00:00:00,80.25,0.0,0.0,-80.25
2018-01-13 01:00:00,76.5,0.0,0.0,-76.5
2018-01-13 02:00:00,76.25,0.0,0.0,-76.25
2018-01-13 03:00:00,75.75,0.0,0.0,-75.75
2018-01-13 04:00:00,76.0,0.0,0.0,-76.0
2018-01-13 05:00:00,74.5,0.0,0.0,-74.5
2018-01-13 06:00:00,74.25,0.0,0.0,-74.25
2018-01-13 07:00:00,77.0,0.125,76.89656249999999,-0.1034375000000125
2018-01-13 08:00:00,83.0,0.335,206.08278750000002,123.08278750000002
2018-01-13 09:00:00,88.75,0.409,251.6055525,162.8555525
2018-01-13 10:00:00,95.0,0.442,271.906245,176.906245
2018-01-13 11:00:00,99.5,0.449,276.2124524999999,176.71245249999993
2018-01-13 12:00:00,99.75,0.429,263.90900249999993,164.15900249999993
2018-01-13 13:00:00,99.0,0.407,250.37520749999996,151.37520749999996
2018-01-13 14:00:00,99.5,0.373,229.4593425,129.9593425
2018-01-13 15:00:00,99.25,0.242,148.87174499999998,49.621744999999976
2018-01-13 16:00:00,98.75,0.007,4.306207499999999,-94.4437925
2018-01-13 17:00:00,97.0,0.0,0.0,-97.0
2018-01-13 18:00:00,94.75,0.0,0.0,-94.75
2018-01-13 19:00:00,90.75,0.0,0.0,-90.75
2018-01-13 20:00:00,87.75,0.0,0.0,-87.75
2018-01-13 21:00:00,84.25,0.0,0.0,-84.25
2018-01-13 22:00:00,84.0,0.0,0.0,-84.0
2018-01-13 23:00:00,84.0,0.0,0.0,-84.0
2018-01-14 00:00:00,82.75,0.0,0.0,-82.75
2018-01-14 01:00:00,80.25,0.0,0.0,-80.25
2018-01-14 02:00:00,80.5,0.0,0.0,-80.5
2018-01-14 03:00:00,79.25,0.0,0.0,-79.25
2018-01-14 04:00:00,78.0,0.0,0.0,-78.0
2018-01-14 05:00:00,77.75,0.0,0.0,-77.75
2018-01-14 06:00:00,76.75,0.0,0.0,-76.75
2018-01-14 07:00:00,75.25,0.125,76.89656249999999,1.6465624999999875
2018-01-14 08:00:00,74.5,0.335,206.08278750000002,131.58278750000002
2018-01-14 09:00:00,74.0,0.409,251.6055525,177.6055525
2018-01-14 10:00:00,74.0,0.442,271.906245,197.906245
2018-01-14 11:00:00,75.75,0.449,276.2124524999999,200.46245249999993
2018-01-14 12:00:00,77.25,0.429,263.90900249999993,186.65900249999993
2018-01-14 13:00:00,78.25,0.407,250.37520749999996,172.12520749999996
2018-01-14 14:00:00,79.5,0.373,229.4593425,149.9593425
2018-01-14 15:00:00,81.5,0.242,148.87174499999998,67.37174499999998
2018-01-14 16:00:00,84.25,0.007,4.306207499999999,-79.9437925
2018-01-14 17:00:00,86.5,0.0,0.0,-86.5
2018-01-14 18:00:00,88.25,0.0,0.0,-88.25
2018-01-14 19:00:00,87.5,0.0,0.0,-87.5
2018-01-14 20:00:00,85.25,0.0,0.0,-85.25
2018-01-14 21:00:00,84.25,0.0,0.0,-84.25
2018-01-14 22:00:00,83.75,0.0,0.0,-83.75
2018-01-14 23:00:00,81.75,0.0,0.0,-81.75
2018-01-15 00:00:00,81.5,0.0,0.0,-81.5
2018-01-15 01:00:00,81.25,0.0,0.0,-81.25
2018-01-15 02:00:00,80.25,0.0,0.0,-80.25
2018-01-15 03:00:00,80.0,0.0,0.0,-80.0
2018-01-15 04:00:00,78.75,0.0,0.0,-78.75
2018-01-15 05:00:00,78.25,0.0,0.0,-78.25
2018-01-15 06:00:00,82.25,0.0,0.0,-82.25
2018-01-15 07:00:00,102.25,0.125,76.89656249999999,-25.353437500000013
2018-01-15 08:00:00,157.0,0.335,206.08278750000002,49.08278750000002
2018-01-15 09:00:00,196.25,0.409,251.6055525,55.35555249999999
2018-01-15 10:00:00,229.75,0.442,271.906245,42.15624500000001
2018-01-15 11:00:00,246.0,0.449,276.2124524999999,30.212452499999927
2018-01-15 12:00:00,248.75,0.429,263.90900249999993,15.159002499999929
2018-01-15 13:00:00,239.25,0.407,250.37520749999996,11.12520749999996
2018-01-15 14:00:00,242.0,0.373,229.4593425,-12.540657500000009
2018-01-15 15:00:00,239.75,0.242,148.87174499999998,-90.87825500000002
2018-01-15 16:00:00,234.0,0.007,4.306207499999999,-229.6937925
2018-01-15 17:00:00,220.75,0.0,0.0,-220.75
2018-01-15 18:00:00,191.5,0.0,0.0,-191.5
2018-01-15 19:00:00,157.25,0.0,0.0,-157.25
2018-01-15 20:00:00,127.5,0.0,0.0,-127.5
2018-01-15 21:00:00,109.75,0.0,0.0,-109.75
2018-01-15 22:00:00,98.5,0.0,0.0,-98.5
2018-01-15 23:00:00,94.5,0.0,0.0,-94.5
2018-01-16 00:00:00,89.5,0.0,0.0,-89.5
2018-01-16 01:00:00,85.75,0.0,0.0,-85.75
2018-01-16 02:00:00,86.0,0.0,0.0,-86.0
2018-01-16 03:00:00,84.5,0.0,0.0,-84.5
2018-01-16 04:00:00,83.25,0.0,0.0,-83.25
2018-01-16 05:00:00,82.75,0.0,0.0,-82.75
2018-01-16 06:00:00,88.25,0.0,0.0,-88.25
2018-01-16 07:00:00,107.5,0.125,76.89656249999999,-30.603437500000013
2018-01-16 08:00:00,154.75,0.335,206.08278750000002,51.33278750000002
2018-01-16 09:00:00,191.25,0.409,251.6055525,60.35555249999999
2018-01-16 10:00:00,219.75,0.442,271.906245,52.15624500000001
2018-01-16 11:00:00,237.75,0.449,276.2124524999999,38.46245249999993
2018-01-16 12:00:00,242.25,0.429,263.90900249999993,21.65900249999993
2018-01-16 13:00:00,239.5,0.407,250.37520749999996,10.87520749999996
2018-01-16 14:00:00,241.5,0.373,229.4593425,-12.040657500000009
2018-01-16 15:00:00,245.0,0.242,148.87174499999998,-96.12825500000002
2018-01-16 16:00:00,240.75,0.007,4.306207499999999,-236.4437925
2018-01-16 17:00:00,225.25,0.0,0.0,-225.25
2018-01-16 18:00:00,193.0,0.0,0.0,-193.0
2018-01-16 19:00:00,156.75,0.0,0.0,-156.75
